Local time,Open,High,Low,Close,Volume
03.01.2020 00:35:00.000 GMT-0600,1.11676,1.11691,1.11674,1.1169,246.2
03.01.2020 00:40:00.000 GMT-0600,1.11691,1.11696,1.1168,1.11688,216.37
03.01.2020 00:45:00.000 GMT-0600,1.11688,1.1169,1.11682,1.11686,213.31
03.01.2020 00:50:00.000 GMT-0600,1.11685,1.11698,1.11682,1.11693,156.87
03.01.2020 00:55:00.000 GMT-0600,1.11693,1.11698,1.11681,1.11694,252.55
03.01.2020 01:00:00.000 GMT-0600,1.11693,1.11698,1.11677,1.11695,788.98
03.01.2020 01:05:00.000 GMT-0600,1.11695,1.11718,1.11685,1.11709,519.21
03.01.2020 01:10:00.000 GMT-0600,1.1171,1.11717,1.11632,1.11634,800.72
03.01.2020 01:15:00.000 GMT-0600,1.11634,1.11645,1.11604,1.11609,913.86
03.01.2020 01:20:00.000 GMT-0600,1.11609,1.11613,1.11567,1.11598,810.68
03.01.2020 01:25:00.000 GMT-0600,1.11598,1.11599,1.11582,1.11588,529.0
03.01.2020 01:30:00.000 GMT-0600,1.11589,1.11599,1.11572,1.11589,545.24
03.01.2020 01:35:00.000 GMT-0600,1.11589,1.11603,1.11568,1.11568,964.54
03.01.2020 01:40:00.000 GMT-0600,1.11569,1.11589,1.11562,1.11577,924.87
03.01.2020 01:45:00.000 GMT-0600,1.11576,1.11596,1.11536,1.11537,1123.95
03.01.2020 01:50:00.000 GMT-0600,1.11537,1.11548,1.11524,1.11542,867.01
03.01.2020 01:55:00.000 GMT-0600,1.11544,1.1155,1.11528,1.11534,752.45
03.01.2020 02:00:00.000 GMT-0600,1.11535,1.11592,1.11523,1.11567,1157.36
03.01.2020 02:05:00.000 GMT-0600,1.11568,1.11582,1.11562,1.11573,800.98
03.01.2020 02:10:00.000 GMT-0600,1.11573,1.11605,1.11573,1.11588,603.06
03.01.2020 02:15:00.000 GMT-0600,1.11588,1.11594,1.11551,1.11589,842.61
03.01.2020 02:20:00.000 GMT-0600,1.11588,1.11596,1.11549,1.11563,729.47
03.01.2020 02:25:00.000 GMT-0600,1.11563,1.11606,1.11544,1.11584,959.08
03.01.2020 02:30:00.000 GMT-0600,1.11584,1.11584,1.11549,1.11579,715.78
03.01.2020 02:35:00.000 GMT-0600,1.11579,1.11591,1.11562,1.11566,990.0
03.01.2020 02:40:00.000 GMT-0600,1.11566,1.11575,1.11526,1.11537,903.36
03.01.2020 02:45:00.000 GMT-0600,1.11538,1.11541,1.11521,1.11528,556.82
03.01.2020 02:50:00.000 GMT-0600,1.11528,1.11544,1.11508,1.11534,951.57
03.01.2020 02:55:00.000 GMT-0600,1.11535,1.11536,1.11507,1.11513,550.14
03.01.2020 03:00:00.000 GMT-0600,1.11514,1.11524,1.11501,1.11516,936.57
03.01.2020 03:05:00.000 GMT-0600,1.11515,1.11521,1.11509,1.11513,591.33
03.01.2020 03:10:00.000 GMT-0600,1.11512,1.11514,1.11467,1.1147,877.88
03.01.2020 03:15:00.000 GMT-0600,1.11469,1.11471,1.11437,1.11443,695.64
03.01.2020 03:20:00.000 GMT-0600,1.11442,1.11457,1.11432,1.11456,893.66
03.01.2020 03:25:00.000 GMT-0600,1.11456,1.11476,1.11451,1.11473,950.53
03.01.2020 03:30:00.000 GMT-0600,1.11472,1.11482,1.11448,1.11482,876.93
03.01.2020 03:35:00.000 GMT-0600,1.11481,1.11498,1.1147,1.11492,655.98
03.01.2020 03:40:00.000 GMT-0600,1.11491,1.11492,1.11449,1.11456,884.56
03.01.2020 03:45:00.000 GMT-0600,1.11457,1.11458,1.1142,1.11434,1080.28
03.01.2020 03:50:00.000 GMT-0600,1.11434,1.11448,1.11412,1.11414,854.38
03.01.2020 03:55:00.000 GMT-0600,1.11414,1.11419,1.11402,1.11403,774.84
03.01.2020 04:00:00.000 GMT-0600,1.11403,1.11436,1.11401,1.11426,891.48
03.01.2020 04:05:00.000 GMT-0600,1.11429,1.11434,1.11342,1.11349,978.31
03.01.2020 04:10:00.000 GMT-0600,1.1135,1.1136,1.11317,1.11335,1382.79
03.01.2020 04:15:00.000 GMT-0600,1.11336,1.11375,1.11329,1.11366,1190.19
03.01.2020 04:20:00.000 GMT-0600,1.11367,1.11367,1.11343,1.11361,1012.59
03.01.2020 04:25:00.000 GMT-0600,1.11361,1.11364,1.11332,1.1135,728.82
03.01.2020 04:30:00.000 GMT-0600,1.11349,1.1136,1.11336,1.11348,741.57
03.01.2020 04:35:00.000 GMT-0600,1.11349,1.11349,1.11308,1.11315,629.48
03.01.2020 04:40:00.000 GMT-0600,1.11316,1.11341,1.11312,1.1132,699.44
03.01.2020 04:45:00.000 GMT-0600,1.1132,1.11354,1.11311,1.1135,679.34
03.01.2020 04:50:00.000 GMT-0600,1.11351,1.11351,1.11333,1.11344,699.29
03.01.2020 04:55:00.000 GMT-0600,1.11343,1.1137,1.11334,1.11363,917.16
03.01.2020 05:00:00.000 GMT-0600,1.11363,1.11363,1.11318,1.11321,907.75
03.01.2020 05:05:00.000 GMT-0600,1.11321,1.11327,1.11301,1.11313,707.79
03.01.2020 05:10:00.000 GMT-0600,1.11312,1.11319,1.11268,1.11315,840.12
03.01.2020 05:15:00.000 GMT-0600,1.11315,1.11316,1.1128,1.11303,559.02
03.01.2020 05:20:00.000 GMT-0600,1.11304,1.11315,1.11292,1.11299,626.97
03.01.2020 05:25:00.000 GMT-0600,1.11299,1.11314,1.11297,1.11299,791.59
03.01.2020 05:30:00.000 GMT-0600,1.11299,1.11314,1.11273,1.11273,738.29
03.01.2020 05:35:00.000 GMT-0600,1.11273,1.11288,1.11254,1.11273,826.28
03.01.2020 05:40:00.000 GMT-0600,1.11274,1.11281,1.11263,1.11275,849.06
03.01.2020 05:45:00.000 GMT-0600,1.11276,1.11281,1.11251,1.11258,742.0
03.01.2020 05:50:00.000 GMT-0600,1.11259,1.11296,1.11254,1.11291,703.49
03.01.2020 05:55:00.000 GMT-0600,1.1129,1.11302,1.11283,1.11302,494.01
03.01.2020 06:00:00.000 GMT-0600,1.11301,1.11323,1.11294,1.11294,520.85
03.01.2020 06:05:00.000 GMT-0600,1.11294,1.11307,1.11284,1.11305,668.49
03.01.2020 06:10:00.000 GMT-0600,1.11302,1.11316,1.11295,1.11316,727.32
03.01.2020 06:15:00.000 GMT-0600,1.11316,1.11328,1.11315,1.11319,776.35
03.01.2020 06:20:00.000 GMT-0600,1.1132,1.11326,1.11289,1.11294,664.01
03.01.2020 06:25:00.000 GMT-0600,1.11294,1.11305,1.11291,1.11304,406.21
03.01.2020 06:30:00.000 GMT-0600,1.11303,1.11355,1.113,1.11351,779.63
03.01.2020 06:35:00.000 GMT-0600,1.11349,1.11381,1.11343,1.1138,883.52
03.01.2020 06:40:00.000 GMT-0600,1.11381,1.11407,1.11368,1.11404,762.36
03.01.2020 06:45:00.000 GMT-0600,1.11404,1.11428,1.1139,1.11395,945.18
03.01.2020 06:50:00.000 GMT-0600,1.11396,1.11398,1.11363,1.11396,758.26
03.01.2020 06:55:00.000 GMT-0600,1.11395,1.11404,1.11383,1.11394,807.43
03.01.2020 07:00:00.000 GMT-0600,1.11394,1.11439,1.11377,1.11411,835.64
03.01.2020 07:05:00.000 GMT-0600,1.11412,1.11442,1.11402,1.11438,1062.2
03.01.2020 07:10:00.000 GMT-0600,1.11438,1.11478,1.11436,1.11469,1220.94
03.01.2020 07:15:00.000 GMT-0600,1.11468,1.11474,1.11457,1.11474,894.52
03.01.2020 07:20:00.000 GMT-0600,1.11476,1.1149,1.11454,1.11465,988.1
03.01.2020 07:25:00.000 GMT-0600,1.11466,1.11469,1.11455,1.1146,468.79
03.01.2020 07:30:00.000 GMT-0600,1.1146,1.1147,1.11444,1.11468,595.2
03.01.2020 07:35:00.000 GMT-0600,1.11469,1.1148,1.11454,1.11479,397.68
03.01.2020 07:40:00.000 GMT-0600,1.11479,1.1148,1.11465,1.11468,480.44
03.01.2020 07:45:00.000 GMT-0600,1.11467,1.11468,1.11411,1.11421,685.83
03.01.2020 07:50:00.000 GMT-0600,1.11421,1.11426,1.11378,1.11378,508.22
03.01.2020 07:55:00.000 GMT-0600,1.11378,1.11401,1.11374,1.11382,855.68
03.01.2020 08:00:00.000 GMT-0600,1.11382,1.1139,1.11355,1.11388,790.5
03.01.2020 08:05:00.000 GMT-0600,1.11388,1.11436,1.11387,1.1142,761.52
03.01.2020 08:10:00.000 GMT-0600,1.1142,1.11433,1.11409,1.11413,777.48
03.01.2020 08:15:00.000 GMT-0600,1.11413,1.11442,1.11412,1.11442,910.5
03.01.2020 08:20:00.000 GMT-0600,1.11443,1.11492,1.11443,1.11485,877.64
03.01.2020 08:25:00.000 GMT-0600,1.11485,1.11485,1.11445,1.11466,942.73
03.01.2020 08:30:00.000 GMT-0600,1.11466,1.11501,1.11463,1.115,1292.52
03.01.2020 08:35:00.000 GMT-0600,1.11501,1.11502,1.11488,1.11489,685.97
03.01.2020 08:40:00.000 GMT-0600,1.11489,1.11529,1.11489,1.11516,1174.96
03.01.2020 08:45:00.000 GMT-0600,1.11516,1.11543,1.11507,1.11519,1333.88
03.01.2020 08:50:00.000 GMT-0600,1.11519,1.1154,1.11507,1.11511,991.72
03.01.2020 08:55:00.000 GMT-0600,1.11509,1.11539,1.11497,1.11531,961.97
03.01.2020 09:00:00.000 GMT-0600,1.11531,1.11678,1.11531,1.11562,2051.51
03.01.2020 09:05:00.000 GMT-0600,1.11562,1.11604,1.11538,1.11586,1720.18
03.01.2020 09:10:00.000 GMT-0600,1.11587,1.11624,1.11581,1.11619,1443.15
03.01.2020 09:15:00.000 GMT-0600,1.11615,1.11669,1.11593,1.11653,1405.98
03.01.2020 09:20:00.000 GMT-0600,1.11653,1.11664,1.11621,1.11623,1151.15
03.01.2020 09:25:00.000 GMT-0600,1.11623,1.11653,1.11622,1.11632,1244.43
03.01.2020 09:30:00.000 GMT-0600,1.11632,1.11638,1.11603,1.11603,936.03
03.01.2020 09:35:00.000 GMT-0600,1.11604,1.11633,1.11582,1.11633,775.89
03.01.2020 09:40:00.000 GMT-0600,1.11632,1.11652,1.11629,1.11633,816.78
03.01.2020 09:45:00.000 GMT-0600,1.11632,1.11633,1.11594,1.11597,896.73
03.01.2020 09:50:00.000 GMT-0600,1.11597,1.11659,1.11562,1.11645,1408.42
03.01.2020 09:55:00.000 GMT-0600,1.11646,1.11676,1.11634,1.11635,1252.51
03.01.2020 10:00:00.000 GMT-0600,1.11636,1.1166,1.11627,1.11639,929.71
03.01.2020 10:05:00.000 GMT-0600,1.11638,1.11653,1.11629,1.11651,28960.4702
03.01.2020 10:10:00.000 GMT-0600,1.11651,1.11686,1.11634,1.11683,875.58
03.01.2020 10:15:00.000 GMT-0600,1.11681,1.11708,1.11679,1.11704,863.71
03.01.2020 10:20:00.000 GMT-0600,1.11705,1.11721,1.11682,1.1169,5701.7001
03.01.2020 10:25:00.000 GMT-0600,1.1169,1.11746,1.11687,1.11739,657.84
03.01.2020 10:30:00.000 GMT-0600,1.11736,1.118,1.11732,1.11792,41939.4313
03.01.2020 10:35:00.000 GMT-0600,1.1179,1.118,1.11779,1.11784,721.95
03.01.2020 10:40:00.000 GMT-0600,1.11784,1.11791,1.11733,1.11738,855.43
03.01.2020 10:45:00.000 GMT-0600,1.11739,1.11743,1.11715,1.11737,786.71
03.01.2020 10:50:00.000 GMT-0600,1.11737,1.11754,1.11715,1.11754,599.27
03.01.2020 10:55:00.000 GMT-0600,1.11753,1.11753,1.11713,1.11722,788.43
03.01.2020 11:00:00.000 GMT-0600,1.11722,1.11743,1.11722,1.1174,753.71
03.01.2020 11:05:00.000 GMT-0600,1.11739,1.11741,1.11716,1.11729,604.84
03.01.2020 11:10:00.000 GMT-0600,1.11729,1.11735,1.11713,1.11729,542.67
03.01.2020 11:15:00.000 GMT-0600,1.1173,1.11739,1.11716,1.11722,655.93
03.01.2020 11:20:00.000 GMT-0600,1.11723,1.11738,1.11712,1.11712,475.13
03.01.2020 11:25:00.000 GMT-0600,1.11712,1.1173,1.1171,1.11729,406.23
03.01.2020 11:30:00.000 GMT-0600,1.11728,1.11729,1.11696,1.11704,416.32
03.01.2020 11:35:00.000 GMT-0600,1.11703,1.11712,1.1169,1.11695,418.74
03.01.2020 11:40:00.000 GMT-0600,1.11695,1.11725,1.11681,1.11714,384.12
03.01.2020 11:45:00.000 GMT-0600,1.11714,1.11723,1.11714,1.11714,288.55
03.01.2020 11:50:00.000 GMT-0600,1.11712,1.11737,1.11712,1.11716,384.81
03.01.2020 11:55:00.000 GMT-0600,1.11717,1.11728,1.11709,1.11724,442.16
03.01.2020 12:00:00.000 GMT-0600,1.11723,1.11725,1.11707,1.1171,420.93
03.01.2020 12:05:00.000 GMT-0600,1.11709,1.11735,1.11708,1.11728,384.26
03.01.2020 12:10:00.000 GMT-0600,1.11729,1.11733,1.11724,1.11727,322.81
03.01.2020 12:15:00.000 GMT-0600,1.11728,1.11729,1.11718,1.11719,495.24
03.01.2020 12:20:00.000 GMT-0600,1.11718,1.11729,1.11702,1.11703,478.28
03.01.2020 12:25:00.000 GMT-0600,1.11702,1.11714,1.117,1.11703,277.45
03.01.2020 12:30:00.000 GMT-0600,1.11702,1.11702,1.11679,1.11692,521.3
03.01.2020 12:35:00.000 GMT-0600,1.11692,1.11719,1.11676,1.11679,944.95
03.01.2020 12:40:00.000 GMT-0600,1.11678,1.1169,1.11664,1.11685,900.61
03.01.2020 12:45:00.000 GMT-0600,1.11684,1.11693,1.11672,1.11679,433.71
03.01.2020 12:50:00.000 GMT-0600,1.11676,1.11694,1.11673,1.11684,333.93
03.01.2020 12:55:00.000 GMT-0600,1.11684,1.1169,1.11663,1.11674,402.93
03.01.2020 13:00:00.000 GMT-0600,1.11673,1.11684,1.11648,1.11652,678.12
03.01.2020 13:05:00.000 GMT-0600,1.11653,1.11664,1.11642,1.11642,572.54
03.01.2020 13:10:00.000 GMT-0600,1.11642,1.11669,1.11642,1.11668,426.26
03.01.2020 13:15:00.000 GMT-0600,1.11667,1.11669,1.11642,1.11647,455.72
03.01.2020 13:20:00.000 GMT-0600,1.11646,1.11648,1.11614,1.11636,564.97
03.01.2020 13:25:00.000 GMT-0600,1.11635,1.11641,1.11622,1.11631,435.62
03.01.2020 13:30:00.000 GMT-0600,1.11632,1.11635,1.11618,1.11631,254.78
03.01.2020 13:35:00.000 GMT-0600,1.11631,1.11637,1.1162,1.11623,539.81
03.01.2020 13:40:00.000 GMT-0600,1.11623,1.1164,1.11622,1.11629,480.23
03.01.2020 13:45:00.000 GMT-0600,1.11628,1.11638,1.11625,1.11637,379.01
03.01.2020 13:50:00.000 GMT-0600,1.11636,1.11648,1.11626,1.11647,395.76
03.01.2020 13:55:00.000 GMT-0600,1.11647,1.11679,1.11646,1.11677,755.36
03.01.2020 14:00:00.000 GMT-0600,1.11676,1.11677,1.1165,1.11655,316.09
03.01.2020 14:05:00.000 GMT-0600,1.11657,1.11661,1.1165,1.11657,266.2
03.01.2020 14:10:00.000 GMT-0600,1.11657,1.11657,1.11631,1.11638,216.23
03.01.2020 14:15:00.000 GMT-0600,1.11638,1.11647,1.11632,1.11633,353.91
03.01.2020 14:20:00.000 GMT-0600,1.11631,1.11632,1.11624,1.11626,233.92
03.01.2020 14:25:00.000 GMT-0600,1.11627,1.11627,1.11618,1.11621,216.83
03.01.2020 14:30:00.000 GMT-0600,1.1162,1.11622,1.1161,1.11611,192.62
03.01.2020 14:35:00.000 GMT-0600,1.1161,1.11613,1.11605,1.11607,278.79
03.01.2020 14:40:00.000 GMT-0600,1.11609,1.11618,1.11608,1.11616,308.22
03.01.2020 14:45:00.000 GMT-0600,1.11615,1.11615,1.11608,1.11613,238.75
03.01.2020 14:50:00.000 GMT-0600,1.11613,1.11615,1.11602,1.11604,194.94
03.01.2020 14:55:00.000 GMT-0600,1.11603,1.11617,1.11602,1.11617,539.16
03.01.2020 15:00:00.000 GMT-0600,1.11616,1.11621,1.11612,1.11619,197.82
03.01.2020 15:05:00.000 GMT-0600,1.1162,1.11621,1.1159,1.11595,187.935
03.01.2020 15:10:00.000 GMT-0600,1.11597,1.11597,1.11582,1.11586,134.81
03.01.2020 15:15:00.000 GMT-0600,1.11586,1.11592,1.1158,1.11583,122.39
03.01.2020 15:20:00.000 GMT-0600,1.11583,1.11594,1.11582,1.11591,64.5
03.01.2020 15:25:00.000 GMT-0600,1.1159,1.11603,1.1159,1.11603,80.87
03.01.2020 15:30:00.000 GMT-0600,1.11602,1.11605,1.11599,1.11602,56.18
03.01.2020 15:35:00.000 GMT-0600,1.11604,1.11604,1.11592,1.11594,65.57
03.01.2020 15:40:00.000 GMT-0600,1.11595,1.11599,1.11576,1.11578,67.71
03.01.2020 15:45:00.000 GMT-0600,1.11578,1.1158,1.11571,1.11578,90.04
03.01.2020 15:50:00.000 GMT-0600,1.1158,1.11587,1.11528,1.11562,284.19
03.01.2020 15:55:00.000 GMT-0600,1.11563,1.11626,1.11558,1.11626,262.22
